number_id,value,meaning,script,output_file,key
T1_art_above,2,scored arterial years above 30 km/h,11_tests.py,erp/out/tests.csv,T1_arterial_above
T1_art_below,0,scored arterial years below 20 km/h,11_tests.py,erp/out/tests.csv,T1_arterial_below
T1_exp_above,0,scored expressway years above 65 km/h,11_tests.py,erp/out/tests.csv,T1_expressway_above
T1_exp_below,0,scored expressway years below 45 km/h,11_tests.py,erp/out/tests.csv,T1_expressway_below
T1_exp_share,38.0,"car population range, % of mean, expressway scored years",11_tests.py,erp/out/tests.csv,T1_expressway_carpop_range_share_pct
T1_art_share,37.3,"car population range, % of mean, arterial scored years",11_tests.py,erp/out/tests.csv,T1_arterial_carpop_range_share_pct
T2_exp_slope,-0.016,"T2 elasticity, expressways, speed on cars per lane-km",11_tests.py,erp/out/tests.csv,T2_expressway_slope
T2_exp_lo,-0.107,"T2 90% interval low, expressways",11_tests.py,erp/out/tests.csv,T2_expressway_lo
T2_exp_hi,0.076,"T2 90% interval high, expressways",11_tests.py,erp/out/tests.csv,T2_expressway_hi
T2_exp_r2,0.00,"T2 R-squared, expressways",11_tests.py,erp/out/tests.csv,T2_expressway_r2
T2_art_slope,0.254,"T2 elasticity, arterial roads",11_tests.py,erp/out/tests.csv,T2_arterial_slope
T2_art_lo,0.158,"T2 90% interval low, arterial",11_tests.py,erp/out/tests.csv,T2_arterial_lo
T2_art_hi,0.350,"T2 90% interval high, arterial",11_tests.py,erp/out/tests.csv,T2_arterial_hi
T2_art_r2,0.26,"T2 R-squared, arterial",11_tests.py,erp/out/tests.csv,T2_arterial_r2
T3_high_km,"17,600","mean km per car, 7 highest-premium years",11_tests.py,erp/out/tests.csv,T3_high_mean_km
T3_low_km,"19,772","mean km per car, 7 lowest-premium years",11_tests.py,erp/out/tests.csv,T3_low_mean_km
T3_ratio,0.890,high / low km per car,11_tests.py,erp/out/tests.csv,T3_ratio
T3_pct,11.0,per cent by which high-premium years were lower,11_tests.py,erp/out/tests.csv,T3_pct_lower
T3_hire_high,"54,736",hire and rental cars added in high-premium years,11_tests.py,erp/out/tests.csv,T3_hire_growth_in_high_half
T3_hire_low,"5,591",hire and rental cars added in low-premium years,11_tests.py,erp/out/tests.csv,T3_hire_growth_in_low_half
T4_exp_gain,-0.020,"T4 adjusted R-squared gain, expressways",11_tests.py,erp/out/tests.csv,T4_expressway_gain
T4_exp_coef,-0.013,"T4 premium coefficient, expressways",11_tests.py,erp/out/tests.csv,T4_expressway_premium_coef
T4_exp_lo,-0.032,"T4 premium 90% interval low, expressways",11_tests.py,erp/out/tests.csv,T4_expressway_premium_ci_lo
T4_exp_hi,0.007,"T4 premium 90% interval high, expressways",11_tests.py,erp/out/tests.csv,T4_expressway_premium_ci_hi
T4_art_gain,0.070,"T4 adjusted R-squared gain, arterial",11_tests.py,erp/out/tests.csv,T4_arterial_gain
T4_art_coef,0.028,"T4 premium coefficient, arterial",11_tests.py,erp/out/tests.csv,T4_arterial_premium_coef
T4_art_lo,0.009,"T4 premium 90% interval low, arterial",11_tests.py,erp/out/tests.csv,T4_arterial_premium_ci_lo
T4_art_hi,0.046,"T4 premium 90% interval high, arterial",11_tests.py,erp/out/tests.csv,T4_arterial_premium_ci_hi
n_held,1,predictions held,11_tests.py,erp/out/tests.csv,n_held
expected,1.9,"expected predictions held, sum of confidences",11_tests.py,erp/out/tests.csv,expected_held
brier,0.194,"Brier score, mean over the four scored tests",11_tests.py,erp/out/tests.csv,brier
S1_2005,9.03,"total car-km 2005, billion",11_tests.py,erp/out/tests.csv,S1_car_km_billion_first
S1_max,11.47,"total car-km peak, billion",11_tests.py,erp/out/tests.csv,S1_car_km_billion_max
S1_2018,10.77,"total car-km 2018, billion",11_tests.py,erp/out/tests.csv,S1_car_km_billion_last
