year,speed_expressway,speed_arterial,cars,cars_private,lanekm_expressway,lanekm_arterial,km_per_car,premium_a,premium_b,premium_ab,premium_months
2004,62.7,24.8,,,,,,25180.91667,25202.875,25191.89583,12
2005,63,27.2,438194,401638,963,2843,20603,16550.79167,15708.875,16129.83333,12
2006,61.6,27.1,472308,421904,963,2865,21100,11187.16667,12429.58333,11808.375,12
2007,62.4,26.9,514685,451745,981,2905,20800,14101.125,15936.20833,15018.66667,12
2008,63.3,26.7,550455,476634,1058,2932,19700,12330.29167,13411.70833,12871,12
2009,62,27.9,576988,497116,1059,2931,19600,11600.04167,12412.29167,12006.16667,12
2010,62.3,28,595185,511125,1059,2938,19100,30404.75,39834.125,35119.4375,12
2011,62.5,28.5,603723,520614,1059,3027,19000,48206.25,64937.70833,56571.97917,12
2012,63.1,28.6,617570,535233,1059,3054,18200,63898.04167,84430.58333,74164.3125,12
2013,61.4,28.9,621345,540063,1093,3100,17800,74690,78711.54167,76700.77083,12
2014,64.1,28.9,616609,536882,1093,3146,17500,67675.33333,73281.54167,70478.4375,12
2015,61.9,29.4,602311,519645,1093,3146,17300,60601.16667,66851.08333,63726.125,12
2016,61.5,30.4,601257,504160,1107,3175,16700,49586.75,52122.16667,50854.45833,12
2017,60.2,30,612256,502187,1107,3177,16700,45990.66667,51800.20833,48895.4375,12
2018,61,29.4,615452,509302,,,17500,33037.58333,35345.20833,34191.39583,12
2019,59.8,29.5,630596,515036,,,,29906.91667,38814.91667,34360.91667,12
2020,64,31,634042,519132,,,,35403.61111,38155.11111,36779.36111,9
2021,63,32,645150,532204,,,,47424.58333,61222.5,54323.54167,12
2022,60,30,650667,532348,,,,75808.95833,100946.4167,88377.6875,12
2023,59,31,651302,524613,,,,94537.5,121800.5833,108169.0417,12
2024,58,30,657744,524418,,,,90494.66667,103729.6667,97112.16667,12
2025,55,29,659889,524312,,,,102912.0417,120747.5,111829.7708,12
