year,e4b_premium_ab,e4_premium_ab,diff_pct,over_1pct
2010,35119.4375,35119.4375,0,False
2011,56571.97917,56571.97917,0,False
2012,74164.3125,74164.3125,0,False
2013,76700.77083,76700.77083,0,False
2014,70478.4375,70478.4375,0,False
2015,63726.125,63726.125,0,False
2016,50854.45833,50854.45833,0,False
2017,48895.4375,48895.4375,0,False
2018,34191.39583,34191.39583,0,False
2019,34360.91667,34360.91667,0,False
2020,36779.36111,36779.36111,0,False
2021,54323.54167,54323.54167,0,False
2022,88377.6875,88377.6875,0,False
2023,108169.0417,108169.0417,0,False
2024,97112.16667,97112.16667,0,False
2025,111829.7708,111829.7708,0,False
