year,premium_ab,km_per_car,half,hire_and_rental_cars,hire_and_rental_change
2005,16129.833,20603,low,7756,
2006,11808.375,21100,low,9235,1479
2007,15018.667,20800,low,11054,1819
2008,12871,19700,low,12391,1337
2009,12006.167,19600,low,12763,372
2010,35119.438,19100,low,13347,584
2011,56571.979,19000,high,13919,572
2012,74164.312,18200,high,14862,943
2013,76700.771,17800,high,16396,1534
2014,70478.438,17500,high,18847,2451
2015,63726.125,17300,high,29369,10522
2016,50854.458,16700,high,51336,21967
2017,48895.438,16700,high,68083,16747
2018,34191.396,17500,low,66480,-1603
