year,road_type,road_length
2005,Expressway,963
2005,Arterial Road,2843
2005,Collector Road,1355
2005,Local Road,3298
2006,Expressway,963
2006,Arterial Road,2865
2006,Collector Road,1368
2006,Local Road,3323
2007,Expressway,981
2007,Arterial Road,2905
2007,Collector Road,1414
2007,Local Road,3349
2008,Expressway,1058
2008,Arterial Road,2932
2008,Collector Road,1440
2008,Local Road,3353
2009,Expressway,1059
2009,Arterial Road,2931
2009,Collector Road,1492
2009,Local Road,3365
2010,Expressway,1059
2010,Arterial Road,2938
2010,Collector Road,1526
2010,Local Road,3372
2011,Expressway,1059
2011,Arterial Road,3027
2011,Collector Road,1580
2011,Local Road,3380
2012,Expressway,1059
2012,Arterial Road,3054
2012,Collector Road,1584
2012,Local Road,3384
2013,Expressway,1093
2013,Arterial Road,3100
2013,Collector Road,1593
2013,Local Road,3392
2014,Expressway,1093
2014,Arterial Road,3146
2014,Collector Road,1599
2014,Local Road,3394
2015,Expressway,1093
2015,Arterial Road,3146
2015,Collector Road,1606
2015,Local Road,3398
2016,Expressway,1107
2016,Arterial Road,3175
2016,Collector Road,1622
2016,Local Road,3404
2017,Expressway,1107
2017,Arterial Road,3177
2017,Collector Road,1605
2017,Local Road,3404
