year,rate,premium
2010,0.6937845733982527,30404.75
2011,0.6068505204696454,48206.25
2012,0.6857075700664957,63898.041666666664
2013,0.5375998659570436,74690.0
2014,0.5855834025617542,67675.33333333333
2015,0.6799809427027493,60601.166666666664
2016,0.6668234445733124,49586.75
2017,0.7495783235257828,45990.666666666664
2018,0.7391942501544366,33037.583333333336
2019,0.7140482876334149,29906.916666666668
2020,0.6427833639248222,35403.61111111111
2021,0.7153143558500524,47424.583333333336
2022,0.7075737322477136,75808.95833333333
2023,0.7237216064642141,94537.5
2024,0.6403038600236697,90494.66666666667
2025,0.659895292758118,102912.04166666667
2026,0.6459073613533317,117547.73333333334
